MONTH,EVAP_CFS,PPT_INC_IN,RES_ELE_FT,STORAGE_AF,INFLOW_CFS,OUTFLOW_CFS,TOC_STO_AF,DEMAND_AF
2015-01,360,0.001290323,718.5751613,1402109.581,68230,18943,3054425.29,167
2015-02,754,0.131428571,743.6585714,1621635.821,165969,18271,3099839.75,244
2015-03,1272,0.012903226,760.0051613,1772777.419,58353,27747,3161346.433,13132
2015-04,1917,0.084,762.7983333,1799965.633,39382,43066,3282533.5,27785
2015-05,2215,0,747.8496774,1658551.613,25641,132890,3529086.581,123491
2015-06,2983,0.005333333,728.5926667,1486600.767,32957,115671,3538000,117379
2015-07,2831,0.007741935,702.1458065,1272288.065,31449,146379,3538000,127288
2015-08,2329,0.001290323,679.1003226,1102301,41967,84864,3538000,89199
2015-09,2123,0.009333333,672.6193333,1057634.233,43047,48465,3488000,34782
2015-10,1532,0.015483871,669.7748387,1038570.032,45595,69652,3205311.419,73181
2015-11,557,0.096,658.1423333,962895.4333,17264,55688,3163000,58124
2015-12,485,0.178064516,655.8541935,948758.8387,83252,38569,3076934.032,12259
2016-01,361,0.312258065,689.7422581,1185559.226,273369,12211,2891995.419,920
2016-02,798,0.044137931,754.4507143,1718283.276,180693,13269,2912900.276,127
2016-03,1332,0.298064516,829.4993548,2567946.968,655751,51788,2836414.968,117
2016-04,2659,0.030666667,881.4776667,3254634.733,215838,41638,3172611.867,28029
2016-05,3598,0.012903226,889.5119355,3374708.129,123236,166342,3519154.806,162024
2016-06,4920,0.009333333,875.0806667,3160368,54897,226207,3538000,161280
2016-07,5204,0,835.9012903,2627926.194,51592,361040,3538000,193737
2016-08,3860,0,787.2993548,2055212.935,36162,281538,3538000,144862
2016-09,2894,0,753.0716667,1707131.433,44149,152512,3481750,47914
2016-10,1382,0.169032258,737.8390323,1566878.129,82686,111313,3182713.742,86365
2016-11,619,0.101333333,732.8313333,1522857.6,72062,108429,3059576.357,92246
2016-12,510,0.273548387,754.6164516,1729916.935,327990,77519,2896270.097,59838
2017-01,655,0.347096774,833.9819355,2616523.871,734914,300585,2797990.226,11022
